Corr_value,Sector,Stock1,Stock2
-0.8677972183920319,Consumer Goods,ITC,NESTLEIND
-0.8401946350796068,Energy - Oil & Gas,GAIL,IGL
-0.8007955791963364,Consumer Goods,ITC,BERGEPAINT
-0.7860395354033456,Consumer Goods,HINDUNILVR,ITC
-0.7649784798497308,Energy - Oil & Gas,IGL,ONGC
-0.7578420047343835,Consumer Goods,TATACONSUM,ITC
0.7520804762994774,Consumer Goods,UBL,ITC
0.7526003208100459,Pharmaceuticals,BIOCON,CADILAHC
0.7529977125090336,Consumer Goods,NESTLEIND,COLPAL
0.7596946802589022,Financial Services,BAJFINANCE,SBILIFE
0.7622173642522757,Banking,SBIN,BANDHANBNK
0.7627328730298215,Automobile,MARUTI,BOSCHLTD
0.7721025730664297,Consumer Goods,HINDUNILVR,COLPAL
0.7730058451216368,Metals,HINDALCO,NMDC
0.7759108772654563,Cement,ACC,ULTRACEMCO
0.7793941310310681,Automobile,BOSCHLTD,TATAMOTORS
0.780129174427542,Consumer Goods,NESTLEIND,TATACONSUM
0.7819955508332397,Financial Services,BAJFINANCE,HDFC
0.782982239774922,Pharmaceuticals,CADILAHC,SUNPHARMA
0.7842252518029883,Banking,INDUSINDBK,HDFCBANK
0.7902130621861205,Automobile,EICHERMOT,TATAMOTORS
0.7953436022848916,Energy - Oil & Gas,GAIL,IOC
0.7978422961984188,Consumer Goods,UBL,HAVELLS
0.8029029757305747,Consumer Goods,BERGEPAINT,COLPAL
0.8032014696652059,Automobile,EICHERMOT,MOTHERSUMI
0.8146838189945816,Banking,PNB,BANDHANBNK
0.8147819556631749,Cement,ACC,AMBUJACEM
0.8163954880414964,Consumer Goods,ASIANPAINT,COLPAL
0.8177367923106148,Consumer Goods,NESTLEIND,DABUR
0.8184254354573629,Consumer Goods,TATACONSUM,BERGEPAINT
0.8206832577336881,Banking,BANKBARODA,HDFCBANK
0.8240325684079362,Energy - Oil & Gas,HINDPETRO,IOC
0.83348586155894,Automobile,TATAMOTORS,HEROMOTOCO
0.8340914682790216,Consumer Goods,DABUR,ASIANPAINT
0.8372927298360143,Consumer Goods,BERGEPAINT,DABUR
0.8389862105416658,Consumer Goods,GODREJCP,BRITANNIA
0.8424207494461879,Consumer Goods,HINDUNILVR,DABUR
0.8451039289440511,Pharmaceuticals,CIPLA,LUPIN
0.8466692630606426,Automobile,HEROMOTOCO,MOTHERSUMI
0.8480547065946316,Banking,PNB,HDFCBANK
0.8487630745491614,Automobile,TATAMOTORS,M&M
0.8508309528983387,Banking,BANKBARODA,BANDHANBNK
0.8520802733780556,Energy - Oil & Gas,GAIL,ONGC
0.8594953657529061,Automobile,BOSCHLTD,M&M
0.8675006091581177,Banking,ICICIBANK,KOTAKBANK
0.8722868854715441,Automobile,MARUTI,HEROMOTOCO
0.8724467888492485,Banking,INDUSINDBK,BANDHANBNK
0.8791807983175707,Automobile,M&M,MOTHERSUMI
0.8885720681706762,Consumer Goods,NESTLEIND,ASIANPAINT
0.8899465542659257,Consumer Goods,HINDUNILVR,ASIANPAINT
0.8912579469595547,Automobile,MARUTI,MOTHERSUMI
0.8927107890132643,Automobile,MARUTI,M&M
0.897240537642322,Metals,HINDALCO,JSWSTEEL
0.8977654329835191,Automobile,M&M,HEROMOTOCO
0.9061406714090692,Automobile,MARUTI,TATAMOTORS
0.9081259124993112,Financial Services,HDFCLIFE,ICICIPRULI
0.9094190584928072,Financial Services,BAJAJFINSV,BAJFINANCE
0.9113532157560992,Metals,HINDALCO,TATASTEEL
0.9186691302390176,Financial Services,BAJAJFINSV,HDFC
0.9213263511217348,Financial Services,ICICIPRULI,SBILIFE
0.9215893226081675,Consumer Goods,BERGEPAINT,HINDUNILVR
0.9283171861583992,Banking,SBIN,AXISBANK
0.9359945960280386,Banking,INDUSINDBK,PNB
0.936663093107104,Pharmaceuticals,DIVISLAB,TORNTPHARM
0.9371319702453791,Financial Services,HDFCLIFE,SBILIFE
0.9386132005405132,Automobile,MOTHERSUMI,TATAMOTORS
0.943450082565344,Metals,JSWSTEEL,TATASTEEL
0.9479923544796938,Consumer Goods,BERGEPAINT,ASIANPAINT
0.9480910213138694,Consumer Goods,NESTLEIND,BERGEPAINT
0.9532693008118471,Consumer Goods,HINDUNILVR,NESTLEIND
0.9535757827310319,Banking,BANKBARODA,INDUSINDBK
0.9541140347357097,Pharmaceuticals,DIVISLAB,DRREDDY
0.9614442399305088,Pharmaceuticals,DRREDDY,TORNTPHARM
0.9637003535798107,Energy - Oil & Gas,IOC,ONGC
0.9713266451122137,Banking,PNB,BANKBARODA
