Sector,X,Y,adf_test_pval
Automobile,EICHERMOT,TATAMOTORS,0.7197692478063146
Energy - Oil & Gas,GAIL,IOC,0.04391871125251103
Consumer Goods,UBL,HAVELLS,0.8263108409012299
Consumer Goods,BERGEPAINT,COLPAL,0.1253009390654875
Automobile,EICHERMOT,MOTHERSUMI,0.6941909132807953
Banking,PNB,BANDHANBNK,0.17015715835494716
Cement,ACC,AMBUJACEM,0.28445847073879477
Consumer Goods,ASIANPAINT,COLPAL,0.16023449895687442
Consumer Goods,NESTLEIND,DABUR,0.3433038386383054
Consumer Goods,TATACONSUM,BERGEPAINT,0.20258680843665255
Banking,HDFCBANK,BANKBARODA,0.7388014818789626
Energy - Oil & Gas,IOC,HINDPETRO,0.161570400372958
Automobile,TATAMOTORS,HEROMOTOCO,0.8770525578600901
Consumer Goods,ASIANPAINT,DABUR,0.01519396660525977
Consumer Goods,BERGEPAINT,DABUR,0.0002207917936291273
Consumer Goods,BRITANNIA,GODREJCP,0.352894504110251
Consumer Goods,HINDUNILVR,DABUR,0.4252248527461759
Pharmaceuticals,CIPLA,LUPIN,0.16820869825376855
Automobile,MOTHERSUMI,HEROMOTOCO,0.9620523844028009
Banking,HDFCBANK,PNB,0.6281772725887063
Automobile,TATAMOTORS,M&M,0.7573150907611734
Banking,BANKBARODA,BANDHANBNK,0.35765611497677696
Energy - Oil & Gas,GAIL,ONGC,0.09597804254515019
Automobile,M&M,BOSCHLTD,0.19823103372723128
Banking,ICICIBANK,KOTAKBANK,7.677658817845144e-05
Automobile,HEROMOTOCO,MARUTI,0.4012446839768965
Banking,INDUSINDBK,BANDHANBNK,0.15262560370087552
Automobile,MOTHERSUMI,M&M,0.6451843302583875
Consumer Goods,NESTLEIND,ASIANPAINT,0.5319489071110228
Consumer Goods,ASIANPAINT,HINDUNILVR,0.009256059709405602
Automobile,MOTHERSUMI,MARUTI,0.13145434990154448
Automobile,M&M,MARUTI,0.16894443468003856
Metals,HINDALCO,JSWSTEEL,0.8770438173145012
Automobile,M&M,HEROMOTOCO,0.233200207002416
Automobile,TATAMOTORS,MARUTI,0.031147734274222856
Financial Services,ICICIPRULI,HDFCLIFE,0.03143171449191915
Financial Services,BAJAJFINSV,BAJFINANCE,0.7166383201450135
Metals,HINDALCO,TATASTEEL,0.060985412948569365
Financial Services,BAJAJFINSV,HDFC,0.13946080856776405
Financial Services,ICICIPRULI,SBILIFE,7.478489572054371e-06
Consumer Goods,BERGEPAINT,HINDUNILVR,0.031192563935108598
Banking,AXISBANK,SBIN,1.6625092606442904e-05
Banking,INDUSINDBK,PNB,0.04717885116688961
Pharmaceuticals,DIVISLAB,TORNTPHARM,0.005960970879847955
Financial Services,SBILIFE,HDFCLIFE,0.5493765083274993
Automobile,TATAMOTORS,MOTHERSUMI,0.00936817289032362
Metals,TATASTEEL,JSWSTEEL,0.9042213918980682
Consumer Goods,BERGEPAINT,ASIANPAINT,0.06516938437311277
Consumer Goods,BERGEPAINT,NESTLEIND,0.05763634952972776
Consumer Goods,NESTLEIND,HINDUNILVR,0.032112543200619556
Banking,INDUSINDBK,BANKBARODA,0.24368925372574002
Pharmaceuticals,DIVISLAB,DRREDDY,0.40077043293875225
Pharmaceuticals,DRREDDY,TORNTPHARM,0.0023491030087582597
Energy - Oil & Gas,ONGC,IOC,0.29569140101953795
Banking,BANKBARODA,PNB,0.16500325046780157
